,Artists,Songs,Rating,Votes,Difficulty,Chords
0,jeff buckley,hallelujah,4.87,38995,novice,"['C', 'Am', 'G', 'F', 'E7']"
1,john legend,all of me,4.83,19759,novice,"['Dadd9', 'Am/C', 'D5', 'C', 'Cmaj7', 'G', 'Am', 'D', 'Esus4', 'Csus2', 'Am/D', 'Gsus4', 'E5', 'Em']"
2,ed sheeran,perfect,4.85,30528,novice,"['Dsus4', 'G', 'C', 'D', 'D/F#', 'G/B', 'Em']"
3,passenger,let her go,4.84,16650,novice,"['G', 'C', 'Am', 'F', 'Em']"
4,jason mraz,im yours,4.74,11920,novice,"['Dsus4', 'G', 'C', 'D', 'Bm', 'A7', 'Em']"
5,elvis presley,cant help falling in love,4.86,18867,intermediate,"['C#7', 'C', 'Am', 'G', 'D', 'F', 'Dm', 'Bm', 'B7', 'F#m', 'A7', 'A', 'Em']"
6,ed sheeran,thinking out loud,4.84,11786,novice,"['C', 'G', 'Am', 'C/E', 'F', 'Dm']"
7,coldplay,the scientist,4.87,10267,novice,"['Bm7', 'Dm7', 'G', 'C', 'D', 'C7', 'Dsus2', 'Dmaj7', 'A7', 'A', 'Bb']"
8,adele,someone like you,4.75,3099,intermediate,"['E/B', 'E9', 'D', 'E', 'A/C#', 'Bm', 'A/G#', 'F#m', 'E9/D', 'A', 'F#m/C#', 'E/D']"
9,bruno mars,when i was your man,4.87,13857,novice,"['Em/B', 'C', 'Am', 'G', 'Em/G', 'G7', 'D7', 'Dm', 'F', 'Fm', 'C/G', 'G/B', 'Em', 'Bb']"
10,justin bieber,love yourself,4.85,10711,novice,"['C', 'Am', 'G', 'Dm', 'F', 'G/B']"
11,vance joy,riptide,4.88,17063,novice,"['G', 'Am', 'C', 'Fmaj7']"
12,ed sheeran,photograph,4.85,13622,novice,"['G', 'Bm', 'A', 'D']"
13,pink floyd,wish you were here,4.82,14244,novice,"['Em7', 'G', 'C', 'Am', 'A7sus4', 'D/F#', 'Am/E']"
14,radiohead,creep,4.85,15943,novice,"['G', 'B', 'C', 'Cm']"
15,oasis,wonderwall,4.82,7526,,"['Dsus4', 'Em7', 'G', 'C', 'D', 'G/F#', 'A7sus4', 'Cadd9', 'Em']"
16,oasis,dont look back in anger,4.87,11409,novice,"['E7/G#', 'C', 'Am', 'G', 'F', 'Fm', 'E7', 'E/G#']"
17,train,hey soul sister,4.83,6696,novice,"['C', 'Am', 'G', 'F']"
18,goo goo dolls,iris,4.73,4070,novice,"['Bsus2', 'G', 'D', 'Bm', 'F#m', 'Bm/A', 'A', 'Em']"
19,ed sheeran,i see fire,4.86,9420,novice,"['G', 'C', 'D', 'Am7', 'G/B', 'Em']"
20,taylor swift,love story,4.83,5576,novice,"['C', 'Am', 'G', 'D', 'F', 'Bm', 'A']"
21,oasis,wonderwall,4.46,1549,intermediate,"['D', 'F#m7', 'Esus4', 'F#m', 'B7sus4', 'A']"
22,paramore,the only exception,4.89,7011,novice,"['G', 'Cmaj7', 'Am', 'C', 'D', 'Dm', 'F']"
23,the beatles,let it be,4.73,6182,novice,"['Dm7', 'C', 'Am', 'F6', 'G', 'C/E', 'F/A', 'F', 'Fmaj7', 'C/G', 'Bb']"
24,coldplay,viva la vida,4.87,8838,,"['C', 'G', 'D', 'Bm', 'Em']"
25,plain white ts,hey there delilah,4.86,7419,novice,"['G', 'D', 'Bm', 'F#m', 'A']"
26,imagine dragons,radioactive,4.87,16010,novice,"['C', 'Am', 'G', 'Cmaj7', 'G6sus2', 'G6', 'D']"
27,extreme,more than words,4.80,4081,intermediate,"['Bm7', 'Em7', 'G', 'C', 'D', 'G7', 'D7', 'Bm', 'D/F#', 'Cadd9', 'Am7', 'G/B', 'Em', 'Cm']"
28,the beatles,hey jude,4.67,2378,,"['F7', 'Bb/A', 'C', 'F6', 'C6', 'Gm', 'C/E', 'F', 'C7', 'Csus4', 'Gm7', 'Fmaj7', 'Eb', 'C7sus4', 'Bb']"
29,adele,rolling in the deep,4.30,1219,intermediate,"['Ab', 'G5', 'G', 'Gm', 'C5', 'Bb5', 'Cm', 'Bb']"
30,jason mraz,im yours,4.64,2206,novice,"['D7/F#', 'C', 'Am', 'G', 'F', 'G/B']"
31,sam smith,stay with me,4.77,4940,novice,"['G#dim', 'C', 'Am', 'G', 'F', 'Am7', 'Gsus']"
32,bruno mars,just the way you are,4.80,3731,novice,"['Bm7', 'D', 'G']"
33,green day,boulevard of broken dreams,4.76,6912,novice,"['D#5', 'G', 'C', 'B', 'D', 'A/C#', 'B7', 'A', 'Em']"
34,ed sheeran,the a team,4.86,4399,,"['C', 'G', 'G/F#', 'Dadd4', 'A7sus4', 'D/F#', 'Cadd9', 'Am7', 'Em']"
35,kodaline,all i want,4.89,7071,novice,"['C', 'G', 'Am', 'F', 'Dm', 'G/B']"
36,onerepublic,counting stars,4.84,5738,intermediate,"['C', 'Am', 'G', 'Dm', 'F']"
37,johnny cash,hurt,4.84,10204,novice,"['C', 'Am', 'G', 'D', 'F']"
38,christina perri,jar of hearts,4.84,3773,novice,"['G', 'D', 'Gm', 'A/C#', 'F#', 'Bm7/A', 'Bm', 'D/F#', 'Gdim7', 'A', 'Em', 'D5/A', 'E/G#']"
39,john lennon,imagine,4.82,7563,,"['Dm7', 'C', 'Cmaj7', 'G', 'E', 'F/C', 'G7', 'F', 'E7', 'C/G', 'Am/E']"
40,green day,good riddance time of your life,4.86,10111,novice,"['G', 'C', 'D', 'Cadd9', 'Em']"
41,taylor swift,you belong with me,4.84,5046,novice,"['G', 'A', 'Em', 'D']"
42,the animals,house of the rising sun,4.79,6974,novice,"['F7', 'C', 'Am', 'E', 'D', 'C/E', 'F', 'Dm', 'E7']"
43,coldplay,fix you,4.83,6439,novice,"['C', 'G', 'Em/G', 'F', 'Gsus4', 'Am7', 'Em']"
44,eagles,hotel california,4.84,14219,novice,"['G', 'Am', 'C', 'E', 'D', 'F', 'Dm', 'E7']"
45,bruno mars,grenade,4.83,2260,,"['C', 'Am', 'Gm', 'Dm', 'F', 'A7', 'A', 'Bb']"
46,the fray,how to save a life,4.77,3125,,"['G', 'C', 'D', 'D/F#', 'Em']"
